144 120
-0.650209 -4.26213 0
-0.650209 -4.25513 0
-0.650209 -4.24813 0
-0.650209 -4.24113 0
-0.650209 -4.23413 0
-0.650209 -4.22713 0
-0.650209 -4.22013 0
-0.650209 -4.21313 0
-0.650209 -4.20612 0
-0.650209 -4.19912 0
-0.650209 -4.19212 0
-0.650209 -4.18512 0
-0.650209 -4.17812 0
-0.650209 -4.17112 0
-0.650209 -4.16412 0
-0.650209 -4.15712 0
-0.650209 -4.15013 0
-0.650209 -4.14313 0
-0.650209 -4.13613 0
-0.650209 -4.12913 0
-0.650209 -4.12213 0
-0.650209 -4.11513 0
-0.650209 -4.10813 0
-0.650209 -4.10112 0
-0.650209 -4.09412 0
-0.650209 -4.08712 0
-0.650209 -4.08012 0
-0.650209 -4.07312 0
-0.650209 -4.06612 0
-0.650209 -4.05912 0
-0.650209 -4.05212 0
-0.650209 -4.04513 0
-0.650209 -4.03813 0
-0.650209 -4.03113 0
-0.650209 -4.02413 0
-0.650209 -4.01713 0
-0.650209 -4.01013 0
-0.650209 -4.00313 1
-0.650209 -3.99612 1
-0.650209 -3.98913 1
-0.650209 -3.98213 0
-0.650209 -3.97513 1
-0.650209 -3.96812 1
-0.650209 -3.96112 1
-0.650209 -3.95412 1
-0.650209 -3.94712 1
-0.650209 -3.94012 1
-0.650209 -3.93313 1
-0.650209 -3.92613 1
-0.650209 -3.91913 1
-0.650209 -3.91213 0
-0.650209 -3.90512 0
-0.650209 -3.89812 0
-0.650209 -3.89112 0
-0.650209 -3.88412 0
-0.650209 -3.87713 0
-0.650209 -3.87013 0
-0.650209 -3.86312 0
-0.650209 -3.85612 0
-0.650209 -3.84912 0
-0.650209 -3.84212 0
-0.650209 -3.83512 0
-0.650209 -3.82813 0
-0.650209 -3.82113 0
-0.650209 -3.81413 0
-0.650209 -3.80713 0
-0.650209 -3.80013 0
-0.650209 -3.79312 0
-0.650209 -3.78612 0
-0.650209 -3.77912 0
-0.650209 -3.77213 0
-0.650209 -3.76513 0
-0.650209 -3.75812 0
-0.650209 -3.75112 0
-0.650209 -3.74412 0
-0.650209 -3.73712 0
-0.650209 -3.73012 0
-0.650209 -3.72312 0
-0.650209 -3.71613 0
-0.650209 -3.70913 0
-0.650209 -3.70213 0
-0.650209 -3.69513 0
-0.650209 -3.68813 0
-0.650209 -3.68112 0
-0.650209 -3.67412 0
-0.650209 -3.66712 0
-0.650209 -3.66013 0
-0.650209 -3.65313 0
-0.650209 -3.64612 0
-0.650209 -3.63912 0
-0.650209 -3.63212 0
-0.650209 -3.62512 0
-0.650209 -3.61812 0
-0.650209 -3.61112 0
-0.650209 -3.60413 0
-0.650209 -3.59713 0
-0.650209 -3.59013 0
-0.650209 -3.58313 0
-0.650209 -3.57612 0
-0.650209 -3.56912 0
-0.650209 -3.56212 0
-0.650209 -3.55512 0
-0.650209 -3.54813 0
-0.650209 -3.54112 0
-0.650209 -3.53412 0
-0.650209 -3.52712 0
-0.650209 -3.52012 0
-0.650209 -3.51312 0
-0.650209 -3.50612 0
-0.650209 -3.49913 0
-0.650209 -3.49213 0
-0.650209 -3.48513 0
-0.650209 -3.47813 0
-0.650209 -3.47113 0
-0.650209 -3.46412 0
-0.650209 -3.45712 0
-0.650209 -3.45012 0
-0.650209 -3.44313 0
-0.650209 -3.43613 0
-0.650209 -3.42912 0
-0.643209 -4.26213 0
-0.643209 -4.25513 0
-0.643209 -4.24813 0
-0.643209 -4.24113 0
-0.643209 -4.23413 0
-0.643209 -4.22713 0
-0.643209 -4.22013 0
-0.643209 -4.21313 0
-0.643209 -4.20612 0
-0.643209 -4.19912 0
-0.643209 -4.19212 0
-0.643209 -4.18512 0
-0.643209 -4.17812 0
-0.643209 -4.17112 0
-0.643209 -4.16412 0
-0.643209 -4.15712 0
-0.643209 -4.15013 0
-0.643209 -4.14313 0
-0.643209 -4.13613 0
-0.643209 -4.12913 0
-0.643209 -4.12213 0
-0.643209 -4.11513 0
-0.643209 -4.10813 0
-0.643209 -4.10112 0
-0.643209 -4.09412 0
-0.643209 -4.08712 0
-0.643209 -4.08012 0
-0.643209 -4.07312 0
-0.643209 -4.06612 0
-0.643209 -4.05912 0
-0.643209 -4.05212 0
-0.643209 -4.04513 0
-0.643209 -4.03813 0
-0.643209 -4.03113 0
-0.643209 -4.02413 0
-0.643209 -4.01713 0
-0.643209 -4.01013 0
-0.643209 -4.00313 0
-0.643209 -3.99612 1
-0.643209 -3.98913 1
-0.643209 -3.98213 0
-0.643209 -3.97513 1
-0.643209 -3.96812 0
-0.643209 -3.96112 0
-0.643209 -3.95412 1
-0.643209 -3.94712 0
-0.643209 -3.94012 0
-0.643209 -3.93313 1
-0.643209 -3.92613 0
-0.643209 -3.91913 0
-0.643209 -3.91213 0
-0.643209 -3.90512 0
-0.643209 -3.89812 0
-0.643209 -3.89112 0
-0.643209 -3.88412 0
-0.643209 -3.87713 0
-0.643209 -3.87013 0
-0.643209 -3.86312 0
-0.643209 -3.85612 0
-0.643209 -3.84912 0
-0.643209 -3.84212 0
-0.643209 -3.83512 0
-0.643209 -3.82813 0
-0.643209 -3.82113 0
-0.643209 -3.81413 0
-0.643209 -3.80713 0
-0.643209 -3.80013 0
-0.643209 -3.79312 0
-0.643209 -3.78612 0
-0.643209 -3.77912 0
-0.643209 -3.77213 0
-0.643209 -3.76513 0
-0.643209 -3.75812 0
-0.643209 -3.75112 0
-0.643209 -3.74412 0
-0.643209 -3.73712 0
-0.643209 -3.73012 0
-0.643209 -3.72312 0
-0.643209 -3.71613 0
-0.643209 -3.70913 0
-0.643209 -3.70213 0
-0.643209 -3.69513 0
-0.643209 -3.68813 0
-0.643209 -3.68112 0
-0.643209 -3.67412 0
-0.643209 -3.66712 0
-0.643209 -3.66013 0
-0.643209 -3.65313 0
-0.643209 -3.64612 0
-0.643209 -3.63912 0
-0.643209 -3.63212 0
-0.643209 -3.62512 0
-0.643209 -3.61812 0
-0.643209 -3.61112 0
-0.643209 -3.60413 0
-0.643209 -3.59713 0
-0.643209 -3.59013 0
-0.643209 -3.58313 0
-0.643209 -3.57612 0
-0.643209 -3.56912 0
-0.643209 -3.56212 0
-0.643209 -3.55512 0
-0.643209 -3.54813 0
-0.643209 -3.54112 0
-0.643209 -3.53412 0
-0.643209 -3.52712 0
-0.643209 -3.52012 0
-0.643209 -3.51312 0
-0.643209 -3.50612 0
-0.643209 -3.49913 0
-0.643209 -3.49213 0
-0.643209 -3.48513 0
-0.643209 -3.47813 0
-0.643209 -3.47113 0
-0.643209 -3.46412 0
-0.643209 -3.45712 0
-0.643209 -3.45012 0
-0.643209 -3.44313 0
-0.643209 -3.43613 0
-0.643209 -3.42912 0
-0.636209 -4.26213 0
-0.636209 -4.25513 0
-0.636209 -4.24813 0
-0.636209 -4.24113 0
-0.636209 -4.23413 0
-0.636209 -4.22713 0
-0.636209 -4.22013 0
-0.636209 -4.21313 0
-0.636209 -4.20612 0
-0.636209 -4.19912 0
-0.636209 -4.19212 0
-0.636209 -4.18512 0
-0.636209 -4.17812 0
-0.636209 -4.17112 0
-0.636209 -4.16412 0
-0.636209 -4.15712 0
-0.636209 -4.15013 0
-0.636209 -4.14313 0
-0.636209 -4.13613 0
-0.636209 -4.12913 0
-0.636209 -4.12213 0
-0.636209 -4.11513 0
-0.636209 -4.10813 0
-0.636209 -4.10112 0
-0.636209 -4.09412 0
