126 289
-4.82413 -1.32551 0
-4.82413 -1.31751 0
-4.82413 -1.30951 0
-4.82413 -1.30151 0
-4.82413 -1.29351 0
-4.82413 -1.28551 0
-4.82413 -1.27751 0
-4.82413 -1.26951 0
-4.82413 -1.26151 0
-4.82413 -1.25351 0
-4.82413 -1.24551 0
-4.82413 -1.23751 0
-4.82413 -1.22951 0
-4.82413 -1.22151 0
-4.82413 -1.21351 0
-4.82413 -1.20551 0
-4.82413 -1.19751 0
-4.82413 -1.18951 0
-4.82413 -1.18151 0
-4.82413 -1.17351 0
-4.82413 -1.16551 0
-4.82413 -1.15751 0
-4.82413 -1.14951 0
-4.82413 -1.14151 0
-4.82413 -1.13351 0
-4.82413 -1.12551 0
-4.82413 -1.11751 0
-4.82413 -1.10951 0
-4.82413 -1.10151 0
-4.82413 -1.09351 0
-4.82413 -1.08551 0
-4.82413 -1.07751 0
-4.82413 -1.06951 0
-4.82413 -1.06151 0
-4.82413 -1.05351 0
-4.82413 -1.04551 0
-4.82413 -1.03751 0
-4.82413 -1.02951 0
-4.82413 -1.02151 0
-4.82413 -1.01351 0
-4.82413 -1.00551 0
-4.82413 -0.997514 0
-4.82413 -0.989514 0
-4.82413 -0.981514 0
-4.82413 -0.973514 0
-4.82413 -0.965514 0
-4.82413 -0.957514 0
-4.82413 -0.949514 0
-4.82413 -0.941514 0
-4.82413 -0.933514 0
-4.82413 -0.925514 0
-4.82413 -0.917514 0
-4.82413 -0.909514 0
-4.82413 -0.901514 0
-4.82413 -0.893514 0
-4.82413 -0.885514 0
-4.82413 -0.877514 0
-4.82413 -0.869514 0
-4.82413 -0.861514 0
-4.82413 -0.853514 0
-4.82413 -0.845514 0
-4.82413 -0.837514 0
-4.82413 -0.829514 0
-4.82413 -0.821514 0
-4.82413 -0.813514 0
-4.82413 -0.805514 0
-4.82413 -0.797514 0
-4.82413 -0.789514 0
-4.82413 -0.781514 0
-4.82413 -0.773514 0
-4.82413 -0.765514 0
-4.82413 -0.757514 0
-4.82413 -0.749514 0
-4.82413 -0.741513 0
-4.82413 -0.733514 0
-4.82413 -0.725514 0
-4.82413 -0.717514 0
-4.82413 -0.709514 0
-4.82413 -0.701514 0
-4.82413 -0.693514 0
-4.82413 -0.685513 0
-4.82413 -0.677514 0
-4.82413 -0.669514 0
-4.82413 -0.661514 0
-4.82413 -0.653514 0
-4.82413 -0.645514 0
-4.82413 -0.637514 0
-4.82413 -0.629514 0
-4.82413 -0.621513 0
-4.82413 -0.613514 0
-4.82413 -0.605514 0
-4.82413 -0.597513 0
-4.82413 -0.589514 0
-4.82413 -0.581514 0
-4.82413 -0.573514 0
-4.82413 -0.565513 0
-4.82413 -0.557514 0
-4.82413 -0.549514 0
-4.82413 -0.541514 0
-4.82413 -0.533514 0
-4.82413 -0.525514 0
-4.82413 -0.517514 0
-4.82413 -0.509513 0
-4.82413 -0.501513 0
-4.82413 -0.493514 0
-4.82413 -0.485514 0
-4.82413 -0.477513 0
-4.82413 -0.469514 0
-4.82413 -0.461514 0
-4.82413 -0.453514 0
-4.82413 -0.445513 0
-4.82413 -0.437514 0
-4.82413 -0.429514 0
-4.82413 -0.421513 0
